"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4017","test_verify_create_user","tests.web","2026-03-08","passed","2026-03-08","TestGlobalArenaWeb","test_global_arena_login","",""
"Verify that the Administration page displays the expected total number of menu items in the left navigation panel","68","Verify total number of menu items in Administration page","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaWeb","test_grafana_home","",""
"This test verifies that after navigation, the user is returned to the Home Page and the home page identifier message is displayed correctly.","19883","Verify return to Home Page","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"","10168","test_verify_new_user[new_user_data1]","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaDDT","test_grafana_ddt","",""
"","9113","test_verify_new_user[new_user_data2]","tests.web","2026-03-05","passed","2026-03-05","TestGrafanaDDT","test_grafana_ddt","",""
"This test verifies that a ticket can be added to the cart successfully and the correct event name is displayed in the cart.","2594","Verify adding ticket to cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"This test verifies that a new user can be created successfully and after creation the Home Page header is displayed as expected.","4668","Verify user creation","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaLoginPage","test_global_arena_login","",""
"Verify that searching with an invalid item name shows appropriate 'not found' message","1751","Search with invalid item name","tests.web","2026-03-10","passed","2026-03-10","TestGrafanaWeb","test_grafana_home","",""
"","615","test_verify_new_user[new_user_data2]","","2026-03-05","passed","2026-03-05","","","",""
"Test that the 'Clear All Tasks' button removes everything","0","Verify Clear All Tasks","tests.mobile","2026-03-10","broken","2026-03-10","TestToDoList","test_to_do_list","",""
"Verify that login succeeds when user name and password are retrieved from the database and that the home page header is displayed","6963","Verify successful login using DB","tests.web","2026-03-05","passed","2026-03-05","TestGrafanaLoginPage","test_grafana_login","",""
"","1130","test_verify_all_tickets","tests.web","2026-03-10","passed","2026-03-10","TestGlobalArenaHome","test_global_arena_home","",""
"Verify that DELETE users removes user successfully","92","Delete existing user","tests.api","2026-03-10","passed","2026-03-10","TestGrafanaAPI","test_api_garfana","",""
"Verify that login succeeds when user name and password are retrieved from the database and ai ,that the home page header is displayed","7998","Verify successful login using DB and AI","tests.web","2026-03-08","passed","2026-03-08","TestGrafanaLoginPage","test_grafana_login","",""
"This test verifies that a user can buy a ticket and complete the checkout process successfully, and the purchase confirmation message is displayed.","19999","Verify ticket purchase and checkout","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"Verify that DELETE teams removes the team successfully","53","Delete existing team","tests.api","2026-03-08","passed","2026-03-08","TestGrafanaAPI","test_api_garfana","",""
"Verify that the Administration page displays the expected total number of menu items in the left navigation panel","5008","Verify total number of menu items in Administration page","","2026-03-08","passed","2026-03-08","","","",""
"This test verifies that all tickets can be removed from the cart successfully and the correct cart deletion message is displayed.","5589","Verify deleting tickets from cart","tests.web","2026-03-09","passed","2026-03-09","TestGlobalArenaCart","test_global_arena_cart","",""
"","9202","test_verify_new_user[new_user_data1]","tests.web","2026-03-05","passed","2026-03-05","TestGrafanaDDT","test_grafana_ddt","",""
